"-- Please Select --","-- Faites un choix --",-
"Sonorisation & lumière","Sonorisation & lumière",app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/ProductType.php
Sport,Sport,app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/ProductType.php
"Téléphonie & communication","Téléphonie & communication",app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/ProductType.php
"Voyage & tourisme","Voyage & tourisme",app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/ProductType.php
"Vêtements & accessoires","Vêtements & accessoires",app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/ProductType.php

"Express (less than 24h)","Express (moins de 24h)",app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/ShippingSpeed.php
Standard,Standard,app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/ShippingSpeed.php

"Emission d'un billet électronique, téléchargements","Emission d'un billet électronique, téléchargements",app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/ShippingType.php
"Retrait dans un aéroport, une gare ou une agence de voyage","Retrait dans un aéroport, une gare ou une agence de voyage",app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/ShippingType.php
"Retrait de la marchandise chez le marchand","Retrait de la marchandise chez le marchand",app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/ShippingType.php
Transporteur,Transporteur,app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/ShippingType.php
"Utilisation d'un réseau de points-retrait tiers","Utilisation d'un réseau de points-retrait tiers",app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/ShippingType.php

Aborted,Abandonnée,app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/TransactionState.php
"Cancellation Asked","Annulation demandée",app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/TransactionState.php
Cancelled,Annulée,app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/TransactionState.php
"Contract Accepted","Dossier accepté",app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/TransactionState.php
"Contract Refused","Dossier refusé",app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/TransactionState.php
"Contract Review In Progress","Dossier à l'étude",app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/TransactionState.php
"Contract Sent","Contrat envoyé",app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/TransactionState.php
"Debit Sent","Débit envoyé",app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/TransactionState.php
"In Progress","En cours",app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/TransactionState.php
"Partial Validation Asked","Validation partielle demandée",app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/TransactionState.php
Refused,Refusée,app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/TransactionState.php
Stored,Enregistré,app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/TransactionState.php
Validated,Validée,app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/TransactionState.php
"Validation Asked","Validation demandée",app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/TransactionState.php

"Order ID is undefined","N° de commande n'est pas défini",app/code/community/Fianet/Payment3xcb/Model/Transaction/History.php
"Transaction amount is undefined","Le montant de la transaction n'est pas défini",app/code/community/Fianet/Payment3xcb/Model/Transaction/History.php
"Transaction mode is undefined","Le mode de la transaction n'est pas défini",app/code/community/Fianet/Payment3xcb/Model/Transaction/History.php

Log,Journal,app/code/community/Fianet/Payment3xcb/controllers/Adminhtml/LogController.php
"Please select record(s).","Sélectionnez au moins un enregistrement.",app/code/community/Fianet/Payment3xcb/controllers/Adminhtml/LogController.php
"Records Manager","Gestion des enregistrements",app/code/community/Fianet/Payment3xcb/controllers/Adminhtml/LogController.php
"Total of %d record(s) have been deleted.","%d enregistrement(s) a (ont) été effacé(s).",app/code/community/Fianet/Payment3xcb/controllers/Adminhtml/LogController.php

"Data successfully deleted.","Données correctement suprimées",app/code/community/Fianet/Payment3xcb/controllers/Adminhtml/Mapping/Catalog/CategoryController.php
"Product type","Type de produits",app/code/community/Fianet/Payment3xcb/controllers/Adminhtml/Mapping/Catalog/CategoryController.php

"Data successfully saved but the name of some shipping methods must be defined.","Données correctement sauvegardées mais le nom de certaines méthodes de livraison restent à définir.",app/code/community/Fianet/Payment3xcb/controllers/Adminhtml/Mapping/Shipping/MethodController.php

"Data successfully saved.","Données correctement sauvegardées.",app/code/community/Fianet/Payment3xcb/controllers/Adminhtml/Mapping/Transaction/StateController.php
"Invalid form data.","Données du formulaire invalides.",app/code/community/Fianet/Payment3xcb/controllers/Adminhtml/Mapping/Transaction/StateController.php

"This order no longer exists.","Cette commande n'existe plus.",app/code/community/Fianet/Payment3xcb/controllers/Adminhtml/Sales/OrderController.php

"API: error","API: erreur",app/code/community/Fianet/Payment3xcb/controllers/Adminhtml/Transaction/ControlController.php
"API: internal error","API: erreur interne",app/code/community/Fianet/Payment3xcb/controllers/Adminhtml/Transaction/ControlController.php
"API: invalid action","API: action invalide",app/code/community/Fianet/Payment3xcb/controllers/Adminhtml/Transaction/ControlController.php
"API: invalid request","API: requête invalide",app/code/community/Fianet/Payment3xcb/controllers/Adminhtml/Transaction/ControlController.php
"API: invalid response","API: réponse invalide",app/code/community/Fianet/Payment3xcb/controllers/Adminhtml/Transaction/ControlController.php
"API: transaction not found","API: transaction non trouvée",app/code/community/Fianet/Payment3xcb/controllers/Adminhtml/Transaction/ControlController.php
"API: unauthorized merchant or bad checksum","API: e-commerçant non autorisé ou erreur de checksum",app/code/community/Fianet/Payment3xcb/controllers/Adminhtml/Transaction/ControlController.php
"Order #%s - Merchant cancel the transaction.","Commande n°%s - L'e-commerçant annule la transaction.",app/code/community/Fianet/Payment3xcb/controllers/Adminhtml/Transaction/ControlController.php
"Order #%s - Merchant partially validate the transaction.","Commande n°%s - L'e-commerçant valide partiellement la transaction.",app/code/community/Fianet/Payment3xcb/controllers/Adminhtml/Transaction/ControlController.php
"Order #%s - Merchant validate the transaction.","Commande n°%s - L'e-commerçant valide la transaction.",app/code/community/Fianet/Payment3xcb/controllers/Adminhtml/Transaction/ControlController.php
"Order #%s - Unable to cancel the transaction.","Commande n°%s - Impossible d'annuler la transaction.",app/code/community/Fianet/Payment3xcb/controllers/Adminhtml/Transaction/ControlController.php
